# sequence id_previous t_previous id_current t_current
02 1 0 126 1
02 1 0 127 1
02 2 0 128 1
02 3 0 129 1
02 4 0 130 1
02 5 0 131 1
02 6 0 132 1
02 6 0 133 1
02 7 0 134 1
02 8 0 135 1
02 9 0 136 1
02 10 0 137 1
02 11 0 138 1
02 12 0 139 1
02 13 0 140 1
02 14 0 141 1
02 15 0 142 1
02 16 0 143 1
02 17 0 144 1
02 18 0 145 1
02 19 0 146 1
02 20 0 147 1
02 21 0 148 1
02 23 0 149 1
02 24 0 150 1
02 25 0 151 1
02 26 0 152 1
02 27 0 153 1
02 28 0 154 1
02 29 0 155 1
02 30 0 156 1
02 31 0 157 1
02 32 0 158 1
02 33 0 159 1
02 34 0 160 1
02 35 0 161 1
02 36 0 162 1
02 37 0 163 1
02 38 0 164 1
02 39 0 165 1
02 40 0 166 1
02 41 0 167 1
02 42 0 168 1
02 43 0 169 1
02 44 0 170 1
02 45 0 171 1
02 46 0 172 1
02 47 0 173 1
02 48 0 174 1
02 49 0 175 1
02 50 0 176 1
02 51 0 177 1
02 52 0 178 1
02 53 0 179 1
02 54 0 180 1
02 55 0 181 1
02 56 0 182 1
02 57 0 183 1
02 58 0 184 1
02 59 0 185 1
02 59 0 186 1
02 60 0 187 1
02 61 0 188 1
02 62 0 189 1
02 63 0 190 1
02 64 0 191 1
02 65 0 192 1
02 66 0 193 1
02 67 0 194 1
02 68 0 195 1
02 69 0 196 1
02 70 0 197 1
02 71 0 198 1
02 71 0 199 1
02 72 0 200 1
02 72 0 254 1
02 73 0 201 1
02 74 0 202 1
02 75 0 203 1
02 76 0 204 1
02 77 0 205 1
02 77 0 210 1
02 78 0 206 1
02 79 0 207 1
02 80 0 208 1
02 81 0 209 1
02 82 0 211 1
02 83 0 212 1
02 84 0 213 1
02 85 0 214 1
02 86 0 215 1
02 87 0 216 1
02 88 0 217 1
02 89 0 218 1
02 90 0 219 1
02 91 0 220 1
02 92 0 221 1
02 93 0 222 1
02 94 0 223 1
02 95 0 224 1
02 96 0 225 1
02 97 0 226 1
02 98 0 227 1
02 99 0 228 1
02 100 0 229 1
02 101 0 230 1
02 102 0 231 1
02 103 0 232 1
02 104 0 233 1
02 105 0 234 1
02 106 0 235 1
02 107 0 236 1
02 108 0 237 1
02 109 0 238 1
02 110 0 239 1
02 111 0 240 1
02 112 0 241 1
02 113 0 242 1
02 114 0 243 1
02 115 0 244 1
02 116 0 245 1
02 117 0 246 1
02 117 0 247 1
02 118 0 248 1
02 119 0 249 1
02 120 0 250 1
02 121 0 251 1
02 122 0 252 1
02 123 0 253 1
02 124 0 256 1
02 125 0 257 1
02 126 1 258 2
02 127 1 259 2
02 128 1 260 2
02 129 1 261 2
02 130 1 262 2
02 131 1 263 2
02 132 1 264 2
02 133 1 265 2
02 134 1 266 2
02 135 1 267 2
02 136 1 268 2
02 137 1 269 2
02 138 1 270 2
02 139 1 271 2
02 140 1 272 2
02 141 1 273 2
02 142 1 274 2
02 143 1 275 2
02 144 1 276 2
02 145 1 277 2
02 146 1 278 2
02 147 1 279 2
02 148 1 280 2
02 149 1 281 2
02 150 1 282 2
02 151 1 283 2
02 152 1 284 2
02 153 1 285 2
02 154 1 286 2
02 155 1 287 2
